job_n,Energy,n_helices,r0_A,r0_B,r0_C,omega0,delta_omega0_A,delta_omega0_B,delta_omega0_C,z0_offset_A,z0_offset_B,z0_offset_C,helix1 phase,helix 2 phase,helix3 phase,invert_A,invert_B,invert_C,z1_offset_A,z1_offset_B,z1_offset_C,delta_t_A,delta_t_B,delta_t_C,omega1,z1
36311,-396.477,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,0.6,1.8,0,0,0,99.999268,1.51
36298,-409.928,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,-1.8,0.6,0,0,0,99.999268,1.51
36299,-397.043,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,-1.8,1.8,0,0,0,99.999268,1.51
36318,-409.047,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,1.8,3,0,0,0,99.999268,1.51
36303,-401.687,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,-0.6,-0.6,0,0,0,99.999268,1.51
36320,-392.509,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,3,-1.8,0,0,0,99.999268,1.51
36324,-400.801,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,3,3,0,0,0,99.999268,1.51
36323,-384.639,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,3,1.8,0,0,0,99.999268,1.51
36301,-391.316,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,-0.6,-3,0,0,0,99.999268,1.51
36302,-406.129,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,-0.6,-1.8,0,0,0,99.999268,1.51
36322,-396.602,3,6,6,6,0,0,120,240,0,0,0,0,0,160,0,1,0,0,3,0.6,0,0,0,99.999268,1.51
36330,-387.696,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-3,3,0,0,0,99.999268,1.51
36325,-393.479,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-3,-3,0,0,0,99.999268,1.51
36331,-407.779,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-1.8,-3,0,0,0,99.999268,1.51
36347,-384.374,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,0.6,1.8,0,0,0,99.999268,1.51
36332,-411.524,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-1.8,-1.8,0,0,0,99.999268,1.51
36346,-399.489,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,0.6,0.6,0,0,0,99.999268,1.51
36345,-390.575,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,0.6,-0.6,0,0,0,99.999268,1.51
36349,-412.255,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,1.8,-3,0,0,0,99.999268,1.51
36343,-415.621,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,0.6,-3,0,0,0,99.999268,1.51
36333,-399.769,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-1.8,-0.6,0,0,0,99.999268,1.51
36356,-394.916,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,3,-1.8,0,0,0,99.999268,1.51
36348,-401.652,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,0.6,3,0,0,0,99.999268,1.51
36335,-391.308,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-1.8,1.8,0,0,0,99.999268,1.51
36360,-396.713,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,3,3,0,0,0,99.999268,1.51
36355,-402.545,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,3,-3,0,0,0,99.999268,1.51
36341,-396.857,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-0.6,1.8,0,0,0,99.999268,1.51
36336,-401.817,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-1.8,3,0,0,0,99.999268,1.51
36354,-391.73,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,1.8,3,0,0,0,99.999268,1.51
36340,-389.145,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-0.6,0.6,0,0,0,99.999268,1.51
36342,-396.91,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-0.6,3,0,0,0,99.999268,1.51
36337,-412.867,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-0.6,-3,0,0,0,99.999268,1.51
36338,-397.231,3,6,6,6,0,0,120,240,0,0,0,0,0,180,0,1,0,0,-0.6,-1.8,0,0,0,99.999268,1.51
36366,-401.462,3,6,6,6,0,0,120,240,0,0,0,0,20,0,0,1,0,0,-3,3,0,0,0,99.999268,1.51
36365,-390.423,3,6,6,6,0,0,120,240,0,0,0,0,20,0,0,1,0,0,-3,1.8,0,0,0,99.999268,1.51
